position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,Rethinking social desirability scales: From impression management to interpersonally oriented self-control,4zP45n2WwxMJ,"L Uziel - Perspectives on Psychological Science, 2010 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/1745691610369465,L Uziel,2010,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
1,"Impression management (“lie”) scales are associated with interpersonally oriented self‐control, not other‐deception",LSkQIQQD-dIJ,"L Uziel - Journal of personality, 2014 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12045,L Uziel,2014,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
2,Good actors but bad apples: Deviant consequences of daily impression management at work.,u8IHq4MIgdEJ,"AC Klotz, W He, KC Yam, MC Bolino… - Journal of Applied …, 2018 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/apl0000335,"AC Klotz, W He, KC Yam, MC Bolino…",2018,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
3,Impression management and achievement motivation: Investigating substantive links,uWTfaAO-c-oJ,"AJ Elliot, N Aldhobaiban, K Murayama… - International Journal …, 2018 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12252,"AJ Elliot, N Aldhobaiban, K Murayama…",2018,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
4,The effect of public social context on self-control: Depletion for neuroticism and restoration for impression management,_8FltzJtn8oJ,"L Uziel, RF Baumeister - Personality and Social Psychology …, 2012 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167211427310,"L Uziel, RF Baumeister",2012,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
5,Life seems different with you around: Differential shifts in cognitive appraisal in the mere presence of others for neuroticism and impression management,IzIiWRsNjxAJ,"L Uziel - Personality and Individual Differences, 2015 - Elsevier",https://www.sciencedirect.com/science/article/pii/S019188691400525X,L Uziel,2015,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
6,Impression management leads to spent resources: the influence of impression management on a person's self-control,QHxzcewZfFsJ,M Badenhop - 2008 - essay.utwente.nl,http://essay.utwente.nl/58425/,M Badenhop,2008,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
7,Being Out of the Loop: Workplace Deviance as a Mediator of the Impact of Impression Management on Workplace Exclusion,DEkCOEQaascJ,"T Fitriastuti, A Vanderstraeten - Sustainability, 2022 - mdpi.com",https://www.mdpi.com/1452754,"T Fitriastuti, A Vanderstraeten",2022,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
8,"High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis",4g9Pfb1hfQ8J,"A Bertrams, O Dickhäuser - Learning and Individual Differences, 2009 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1041608008000575,"A Bertrams, O Dickhäuser",2009,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
9,The Balanced inventory of desirable responding (BIDR) a reliability generalization study,FCI7OyakZS8J,"A Li, J Bagger - Educational and psychological measurement, 2007 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0013164406292087,"A Li, J Bagger",2007,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
10,Assessing jail inmates' proneness to shame and guilt: Feeling bad about the behavior or the self?,7de_-H7ai2UJ,"JP Tangney, J Stuewig, D Mashek… - Criminal justice and …, 2011 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0093854811405762,"JP Tangney, J Stuewig, D Mashek…",2011,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
11,"The brief self-control scale predicts jail inmates' recidivism, substance dependence, and post-release adjustment",o2Kj9wv4v3AJ,"ET Malouf, KE Schaefer, EA Witt… - Personality and …, 2014 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167213511666,"ET Malouf, KE Schaefer, EA Witt…",2014,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
12,Friends don't let friends eat cookies: Effects of restrictive eating norms on consumption among friends,_0Pspwu0-YkJ,"M Howland, JM Hunger, T Mann - Appetite, 2012 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0195666312002255,"M Howland, JM Hunger, T Mann",2012,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
13,Looking cool or attaining self-rule. Different motives for autonomy and their effects on unhealthy snack purchase,Az10t7t19ywJ,"FM Stok, DTD De Ridder, MA Adriaanse, JBF De Wit - Appetite, 2010 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0195666310000747,"FM Stok, DTD De Ridder, MA Adriaanse, JBF De Wit",2010,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
14,"Divine struggles: Links with body image concerns, binging, and compensatory behaviours around eating",7opqxBl93MYJ,"JJ Exline, SJ Homolka, VA Harriott - Mental Health, Religion & …, 2016 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/13674676.2015.1087977,"JJ Exline, SJ Homolka, VA Harriott",2016,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
15,"Reliability, validity, and predictive utility of the 25-item Criminogenic Cognitions Scale (CCS)",Tjb7Cgk4DrYJ,"JP Tangney, J Stuewig, E Furukawa… - Criminal justice and …, 2012 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0093854812451092,"JP Tangney, J Stuewig, E Furukawa…",2012,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
16,Social anxiety in relation to self-control depletion following social interactions,JmURqpcIK3YJ,"GNC BlaCkhart, J Williamson… - Journal of social and …, 2015 - Guilford Press",https://guilfordjournals.com/doi/abs/10.1521/jscp.2015.34.9.747,"GNC BlaCkhart, J Williamson…",2015,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
17,Asymmetry in self-other agreement on attachment style among romantic partners,KCxdh9itaRsJ,"L Uziel - Journal of Research in Personality, 2012 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656611001620,L Uziel,2012,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
18,Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self‐reports,hHKuvW37-PUJ,"MH Bornstein, DL Putnick, JE Lansford… - International Journal …, 2015 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12084,"MH Bornstein, DL Putnick, JE Lansford…",2015,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
19,Implicit theories of body weight: Entity beliefs can weigh you down,It1XlQRN_KYJ,"JL Burnette - Personality and social psychology Bulletin, 2010 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167209359768,JL Burnette,2010,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,impression management
0,Role of self-control strength in the relation between anxiety and cognitive performance.,KxmzP7NBrZsJ,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister - Emotion, 2013 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/a0031921,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister",2013,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
1,Self-regulation in the interpersonal sphere,O926_-PzQSUJ,"KD Vohs, JD Lasaleta, B Fennis - … of self-regulation, 2009 - sydneysymposium.unsw.edu.au",http://www.sydneysymposium.unsw.edu.au/2008/Chapters/VohsSSSP08%20.pdf,"KD Vohs, JD Lasaleta, B Fennis",2009,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
2,People use self-control to risk personal harm: An intra-interpersonal dilemma,BN8eEmQB5yUJ,"CD Rawn, KD Vohs - Personality and Social Psychology …, 2011 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/1088868310381084,"CD Rawn, KD Vohs",2011,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
3,The Importance of Self-Regulation for Interpersonal Functioning.,Llc0_kDrlcAJ,"CD Rawn, KD Vohs - 2006 - psycnet.apa.org",https://psycnet.apa.org/record/2006-04109-002,"CD Rawn, KD Vohs",2006,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
4,"Hope, self‐esteem, and self‐regulation: Positive characteristics among men and women in recovery",mFhFajrxdWQJ,"JR Ferrari, EB Stevens, R Legler… - Journal of Community …, 2012 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/jcop.20509,"JR Ferrari, EB Stevens, R Legler…",2012,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
5,The Selfish Side of Self–Control,OqXq-zcHdtcJ,"L Uziel, URI Hefetz - European Journal of Personality, 2014 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1002/per.1972,"L Uziel, URI Hefetz",2014,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
6,Struggling to be liked: The prospective effect of trait self‐control on social desirability and the moderating role of agreeableness,QCcF1GGHZRkJ,"O Stavrova, MD Kokkoris - International Journal of Psychology, 2019 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12444,"O Stavrova, MD Kokkoris",2019,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
7,Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia,jyP8cCRqpzQJ,"SA Dinovo, MW Vasey - Journal of Research in Personality, 2011 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656611000791,"SA Dinovo, MW Vasey",2011,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
8,Facebook fired: Legal perspectives and young adults' opinions on the use of social media in hiring and firing decisions,edNFGD6nv1wJ,"M Drouin, KW O'Connor, GB Schmidt… - Computers in Human …, 2015 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0747563215000230,"M Drouin, KW O'Connor, GB Schmidt…",2015,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
9,"Unscrambling self-regulatory behavior determination: The interplay of impulse strength, reflective processes, and control resources",HQWwzRUSPzMJ,"M Friese, M Wänke, W Hofmann, J Forgas… - Psychology of self …, 2009 - books.google.com",https://books.google.com/books?hl=en&lr=&id=83qkRG-_vswC&oi=fnd&pg=PA53&dq=%22impression+management%22&ots=FKwsicxge6&sig=-3nPHC0BTHu7cMlZ4tfMCVtKhUo,"M Friese, M Wänke, W Hofmann, J Forgas…",2009,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
10,Abusive supervision and retaliation: A self-control framework,w4eZvdKi5i8J,"H Lian, DJ Brown, DL Ferris, LH Liang… - Academy of …, 2014 - journals.aom.org",https://journals.aom.org/doi/abs/10.5465/amj.2011.0977,"H Lian, DJ Brown, DL Ferris, LH Liang…",2014,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
11,Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.,iFa2rkfddMgJ,"H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de",http://www.prof-buettner.de/downloads/baumgartl2020e.pdf,"H Baumgartl, P Roessler, D Sauter, R Buettner",2020,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
12,Managing perceptions of distress at work: Reframing emotion as passion,4I0Om1xxiaoJ,"EB Wolf, JJ Lee, S Sah, AW Brooks - Organizational Behavior and Human …, 2016 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0749597816304307,"EB Wolf, JJ Lee, S Sah, AW Brooks",2016,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
13,Acts of benevolence: A limited-resource account of compliance with charitable requests,XYGaRB3COsQJ,"BM Fennis, L Janssen, KD Vohs - Journal of Consumer …, 2009 - academic.oup.com",https://academic.oup.com/jcr/article-abstract/35/6/906/1800011,"BM Fennis, L Janssen, KD Vohs",2009,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
14,Is generosity sincere or strategic? Altruism versus status-seeking in prosocial behavior,YYq9vuYUbVsJ,"R Willer, M Feinberg, FJ Flynn… - Unpublished …, 2011 - researchgate.net",https://www.researchgate.net/profile/Matthew-Feinberg-2/publication/268407221_Is_generosity_sincere_or_strategic_Altruism_versus_status-seeking_in_prosocial_behavior/links/54ff62230cf2672e224636f9/Is-generosity-sincere-or-strategic-Altruism-versus-status-seeking-in-prosocial-behavior.pdf,"R Willer, M Feinberg, FJ Flynn…",2011,https://scholar.google.com/scholar?q=%22impression+management%22&cites=6099775482241657013&hl=en&start=400&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,2,impression management
