Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Robinson M.D., Persich M.R., Irvin R.L.","7404467028;57188752768;57218248455;","An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being",2022,"Journal of Research in Personality","97",,"104207","","",,,"10.1016/j.jrp.2022.104207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124898277&doi=10.1016%2fj.jrp.2022.104207&partnerID=40&md5=816c128304cc05885bba17bdf8403f28","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85124898277
"Lanz L., Thielmann I., Gerpott F.H.","57226721717;56107426200;56901406600;","Are social desirability scales desirable? A meta-analytic test of the validity of social desirability scales in the context of prosocial behavior",2022,"Journal of Personality","90","2",,"203","221",,1,"10.1111/jopy.12662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112478471&doi=10.1111%2fjopy.12662&partnerID=40&md5=fb2702b37af18d33cc18f1f8a8f7bf72","John Wiley and Sons Inc","34265863",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112478471
"Kokubun K., Yamakawa Y., Nemoto K.","57201321140;55160952700;8567020800;","The link between the brain volume derived index and the determinants of social performance",2022,"Current Psychology",,,,"","",,,"10.1007/s12144-021-02544-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122103839&doi=10.1007%2fs12144-021-02544-3&partnerID=40&md5=ca38e0dc490390d26f8b1e59953f0823","Springer",,Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85122103839
"Gilchrist G., Potts L., Radcliffe P., Halliwell G., Dheensa S., Henderson J., Johnson A., Love B., Gilchrist E., Feder G., Parrott S., Li J., McMurran M., Kirkpatrick S., Stephens-Lewis D., Easton C., Berbary C., Landau S.","56249879600;26323388900;24333094800;57201405944;36727032800;57205119601;57211453052;56419516400;6701715170;57210811872;8342965100;56580778500;7004525514;57216845133;57211453054;7004478567;57203136528;7101776972;","ADVANCE integrated group intervention to address both substance use and intimate partner abuse perpetration by men in substance use treatment: a feasibility randomised controlled trial",2021,"BMC Public Health","21","1","980","","",,1,"10.1186/s12889-021-11012-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106892381&doi=10.1186%2fs12889-021-11012-3&partnerID=40&md5=ad9fceb050df9e98091d45fb9cb0eaa3","BioMed Central Ltd","34034690",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106892381
"Preuss M.","57202589282;","Intra-individual stability of two survey measures on forward-looking attitude",2021,"Journal of Economic Behavior and Organization","190",,,"201","227",,,"10.1016/j.jebo.2021.06.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112503384&doi=10.1016%2fj.jebo.2021.06.049&partnerID=40&md5=e85d61837e8476d44d73e87e86952881","Elsevier B.V.",,Article,"Final","",Scopus,2-s2.0-85112503384
"Littlefield A.K., Lane S.P., Gette J.A., Watts A.L., Sher K.J.","26435400700;54884045700;57216879650;36987777600;7005939202;","The “Big Everything”: Integrating and investigating dimensional models of psychopathology, personality, personality pathology, and cognitive functioning.",2021,"Personality Disorders: Theory, Research, and Treatment","12","2",,"103","114",,4,"10.1037/per0000457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090587734&doi=10.1037%2fper0000457&partnerID=40&md5=3f3e18286b3099c0cebc090857919ae0","American Psychological Association","32915005",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090587734
"van Hooft E.A.J., Kreemers L.M.","6506939038;56007254900;","Stop and start control at work: Differential validity of two types of self-control for work behavior and emotion regulation",2021,"International Journal of Selection and Assessment",,,,"","",,,"10.1111/ijsa.12359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120437404&doi=10.1111%2fijsa.12359&partnerID=40&md5=6e0cf3bb292fa2b4fca36e88011a127e","John Wiley and Sons Inc",,Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85120437404
"Liu J., Zhu L., Liu C.","57221260389;56040854200;14625366300;","Sleep Quality and Self-Control: The Mediating Roles of Positive and Negative Affects",2020,"Frontiers in Psychology","11",,"607548","","",,4,"10.3389/fpsyg.2020.607548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098631970&doi=10.3389%2ffpsyg.2020.607548&partnerID=40&md5=61830675cf8c0b5953d1a0ce704b99e8","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098631970
"Heinze P.E., Fatfouta R., Schröder-Abé M.","57215832459;55671002800;15045576500;","Validation of an implicit measure of antagonistic narcissism",2020,"Journal of Research in Personality","88",,"103993","","",,2,"10.1016/j.jrp.2020.103993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088260262&doi=10.1016%2fj.jrp.2020.103993&partnerID=40&md5=5cb1cd7ceb4110bbbec881a289c71bdf","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85088260262
"Freng S.","24597268100;","Development of the Motivation to Participate in Psychological Research Scale",2020,"Journal of Individual Differences","41","3",,"160","174",,,"10.1027/1614-0001/a000317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078143409&doi=10.1027%2f1614-0001%2fa000317&partnerID=40&md5=1df8d03180b82b4781f193eadb51cce2","Hogrefe Publishing GmbH",,Article,"Final","",Scopus,2-s2.0-85078143409
