Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Robinson M.D., Persich M.R., Irvin R.L.","7404467028;57188752768;57218248455;","An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being",2022,"Journal of Research in Personality","97",,"104207","","",,,"10.1016/j.jrp.2022.104207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124898277&doi=10.1016%2fj.jrp.2022.104207&partnerID=40&md5=816c128304cc05885bba17bdf8403f28","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85124898277
"Cao Y., Li H.","57192204422;57192211409;","Toward controlling of a pandemic: How self-control ability influences willingness to take the COVID-19 vaccine",2022,"Personality and Individual Differences","188",,"111447","","",,2,"10.1016/j.paid.2021.111447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120994533&doi=10.1016%2fj.paid.2021.111447&partnerID=40&md5=d297b172005ed7366c568646d9dbe85c","Elsevier Ltd",,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85120994533
"Lanz L., Thielmann I., Gerpott F.H.","57226721717;56107426200;56901406600;","Are social desirability scales desirable? A meta-analytic test of the validity of social desirability scales in the context of prosocial behavior",2022,"Journal of Personality","90","2",,"203","221",,1,"10.1111/jopy.12662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112478471&doi=10.1111%2fjopy.12662&partnerID=40&md5=fb2702b37af18d33cc18f1f8a8f7bf72","John Wiley and Sons Inc","34265863",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112478471
"Kuanr A., Pradhan D., Lyngdoh T., Lee M.S.W.","57189800932;56099883500;57197826211;23501951600;","Why do consumers subvert brands? investigating the influence of subjective well-being on brand avoidance",2022,"Psychology and Marketing","39","3",,"612","633",,2,"10.1002/mar.21606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116494093&doi=10.1002%2fmar.21606&partnerID=40&md5=6a02f993870400132e79d9f4da4b2ac2","John Wiley and Sons Inc",,Article,"Final","",Scopus,2-s2.0-85116494093
"Gordon-Wilson S.","56716431000;","Consumption practices during the COVID-19 crisis",2022,"International Journal of Consumer Studies","46","2",,"575","588",,10,"10.1111/ijcs.12701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105776686&doi=10.1111%2fijcs.12701&partnerID=40&md5=989b6d59167f7a6edbceceb27c76e488","John Wiley and Sons Inc",,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85105776686
"Stavrova O., Ren D., Pronk T.","36615833200;55785526400;26641461600;","Low Self-Control: A Hidden Cause of Loneliness?",2022,"Personality and Social Psychology Bulletin","48","3",,"347","362",,3,"10.1177/01461672211007228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104528339&doi=10.1177%2f01461672211007228&partnerID=40&md5=81e39baab9b93af6e3552c90cc898f85","SAGE Publications Inc.","33855889",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85104528339
"Fitriastuti T., Vanderstraeten A.","57225897619;55050801700;","Being Out of the Loop: Workplace Deviance as a Mediator of the Impact of Impression Management on Workplace Exclusion",2022,"Sustainability (Switzerland)","14","2","1004","","",,,"10.3390/su14021004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122965172&doi=10.3390%2fsu14021004&partnerID=40&md5=a80e6786963fb0df508116e1eb0e818e","MDPI",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122965172
"Bainbridge T.F., Ludeke S.G., Smillie L.D.","57204139654;55551094200;11639621300;","Evaluating the Big Five as an Organizing Framework for Commonly Used Psychological Trait Scales",2022,"Journal of Personality and Social Psychology",,,,"","",,2,"10.1037/pspp0000395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122705887&doi=10.1037%2fpspp0000395&partnerID=40&md5=ef950ffecf8c06d65f473e5dae5a0220","American Psychological Association","35025595",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85122705887
"Van Gestel L.C., Adriaanse M.A., De Ridder D.T.","57200006300;25929090500;55230438400;","Who accepts nudges? nudge acceptability from a self-regulation perspective",2021,"PLoS ONE","16","12 December 2021","e0260531","","",,,"10.1371/journal.pone.0260531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120911952&doi=10.1371%2fjournal.pone.0260531&partnerID=40&md5=32ae18e6c3f6af96ac209cd779890fb6","Public Library of Science","34860843",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85120911952
"Tindall I.K., Fu K.W., Tremayne K., Curtis G.J.","57210122168;57224522260;57212756022;8383455000;","Can negative emotions increase students’ plagiarism and cheating?",2021,"International Journal for Educational Integrity","17","1","25","","",,,"10.1007/s40979-021-00093-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120752331&doi=10.1007%2fs40979-021-00093-7&partnerID=40&md5=7c7c012c7774188b22cf7f5800f9d52a","BioMed Central Ltd",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85120752331
