Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Rodriguez J.E., Holmes H.L., Alquist J.L., Uziel L., Stinnett A.J.","57226073938;57226091933;30867492000;16305445700;57223181149;","Self-controlled responses to COVID-19: Self-control and uncertainty predict responses to the COVID-19 pandemic",2021,"Current Psychology",,,,"","",,1,"10.1007/s12144-021-02066-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110406036&doi=10.1007%2fs12144-021-02066-y&partnerID=40&md5=d61dd079b834d0044883c199a5329f52","Springer",,Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85110406036
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Kong D.T., Jolly P.M.","55338556100;57195204574;","Lay Beliefs About Attention to and Awareness of the Present: Implicit Mindfulness Theory (IMT) and Its Workplace Implications",2019,"Journal of Business and Psychology","34","5",,"685","707",,3,"10.1007/s10869-018-9606-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057595350&doi=10.1007%2fs10869-018-9606-1&partnerID=40&md5=a796240f1f8d41958e4169a48f9fe339","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-85057595350
"Stavrova O., Kokkoris M.D.","36615833200;57210088437;","Struggling to be liked: The prospective effect of trait self-control on social desirability and the moderating role of agreeableness",2019,"International Journal of Psychology","54","2",,"232","236",,6,"10.1002/ijop.12444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023644531&doi=10.1002%2fijop.12444&partnerID=40&md5=599bdc7297d7d859fa4a62d23eee2042","Wiley-Blackwell Publishing Ltd","28703330",Article,"Final","",Scopus,2-s2.0-85023644531
"Ng V., Tay L., Kuykendall L.","56489968900;34870886500;55801261300;","The development and validation of a measure of character: The CIVIC",2018,"Journal of Positive Psychology","13","4",,"346","372",,10,"10.1080/17439760.2017.1291850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014560701&doi=10.1080%2f17439760.2017.1291850&partnerID=40&md5=e69f447fa819349e7309b2b228ab4ff7","Routledge",,Article,"Final","",Scopus,2-s2.0-85014560701
"Graham S.M., Negash S., Lambert N.M., Fincham F.D.","55684486100;35174869900;14420115200;7006653075;","Problem drinking and extradyadic sex in young adult romantic relationships",2016,"Journal of Social and Clinical Psychology","35","2",,"152","170",,5,"10.1521/jscp.2016.35.2.152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957810995&doi=10.1521%2fjscp.2016.35.2.152&partnerID=40&md5=6359a11827ac73bfaa86b3f496d57be3","Guilford Publications",,Article,"Final","",Scopus,2-s2.0-84957810995
"McCarthy R.J., Crouch J.L., Basham A.R., Milner J.S., Skowronski J.J.","36613438500;7004865948;57053230900;7201508666;7103388522;","Validating the voodoo doll task as a proxy for aggressive parenting behavior",2016,"Psychology of Violence","6","1",,"135","144",,17,"10.1037/a0038456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954100607&doi=10.1037%2fa0038456&partnerID=40&md5=2fdb5294e98105f0da73ef0935b553c2","American Psychological Association Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84954100607
"Restubog S.L.D., Zagenczyk T.J., Bordia P., Bordia S., Chapman G.J.","13905925700;15081779100;7003566658;26031975600;56670837800;","If You Wrong Us, Shall We Not Revenge? Moderating Roles of Self-Control and Perceived Aggressive Work Culture in Predicting Responses to Psychological Contract Breach",2015,"Journal of Management","41","4",,"1132","1154",,80,"10.1177/0149206312443557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930518829&doi=10.1177%2f0149206312443557&partnerID=40&md5=762c406a2a09aa0796af4c942700a1db","SAGE Publications Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84930518829
"Yang Z., Wang J., Mourali M.","55605770663;16308119800;13408744200;","Effect of peer influence on unauthorized music downloading and sharing: The moderating role of self-construal",2015,"Journal of Business Research","68","3",,"516","525",,24,"10.1016/j.jbusres.2014.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919834715&doi=10.1016%2fj.jbusres.2014.09.011&partnerID=40&md5=39de1c16dd093f3d707472ab58b5111c","Elsevier Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84919834715
"Yang Z., Wang J.","55605770663;16308119800;","Differential effects of social influence sources on self-reported music piracy",2015,"Decision Support Systems","69",,,"70","81",,18,"10.1016/j.dss.2014.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920456588&doi=10.1016%2fj.dss.2014.11.007&partnerID=40&md5=615fe84d9ba7146acf3b85f5d79daaff","Elsevier",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84920456588
