position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,"High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis",4g9Pfb1hfQ8J,"A Bertrams, O Dickhäuser - Learning and Individual Differences, 2009 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1041608008000575,"A Bertrams, O Dickhäuser",2009,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
1,Impression management and achievement motivation: Investigating substantive links,uWTfaAO-c-oJ,"AJ Elliot, N Aldhobaiban, K Murayama… - International Journal …, 2018 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12252,"AJ Elliot, N Aldhobaiban, K Murayama…",2018,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
2,Role of self-control strength in the relation between anxiety and cognitive performance.,KxmzP7NBrZsJ,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister - Emotion, 2013 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/a0031921,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister",2013,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
3,Are social desirability scales desirable? A meta‐analytic test of the validity of social desirability scales in the context of prosocial behavior,Z9AW3-sXWSoJ,"L Lanz, I Thielmann, FH Gerpott - Journal of personality, 2022 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12662,"L Lanz, I Thielmann, FH Gerpott",2022,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
4,Stop and start control at work: Differential validity of two types of self‐control for work behavior and emotion regulation,oFzHwaZkNnAJ,"EAJ van Hooft, LM Kreemers - International Journal of Selection …, 2021 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/ijsa.12359,"EAJ van Hooft, LM Kreemers",2021,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
5,Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self‐reports,hHKuvW37-PUJ,"MH Bornstein, DL Putnick, JE Lansford… - International Journal …, 2015 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12084,"MH Bornstein, DL Putnick, JE Lansford…",2015,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
6,The influence of self-control and social status on self-deception,MKeG1IJf1IkJ,"M Ren, B Zhong, W Fan, H Dai, B Yang… - Frontiers in …, 2018 - frontiersin.org",https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01256/full,"M Ren, B Zhong, W Fan, H Dai, B Yang…",2018,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
7,"Fearing failure: Grandiose narcissism, vulnerable narcissism, and emotional reactivity in children",k5m3f9seIzkJ,"KL Derry, JL Ohan, DM Bayliss - Child development, 2020 - Wiley Online Library",https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdev.13264,"KL Derry, JL Ohan, DM Bayliss",2020,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
8,DRAINING FOR SOME BUT NOT FOR ALL–PERSON-JOB FIT AS A MODERATOR TO THE EFFECTS OF EMOTIONAL LABOR ON STRAIN,TR6ERKkd02kJ,"MN Bechtoldt, S Rohrmann - HANDBOOK OF PSYCHOLOGY OF …, 2013 - researchgate.net",https://www.researchgate.net/profile/E-Schellenberg/publication/286172196_Music_The_language_of_emotion/links/5c7ad1bb299bf1268d333872/Music-The-language-of-emotion.pdf#page=115,"MN Bechtoldt, S Rohrmann",2013,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
9,Patience as a virtue: Religious and psychological perspectives,xR4d7rmccksJ,"SA Schnitker, RA Emmons - Research in the Social Scientific Study of …, 2007 - brill.com",https://brill.com/downloadpdf/book/edcoll/9789047419648/Bej.9789004158511.i-301_012.pdf,"SA Schnitker, RA Emmons",2007,"https://scholar.google.com/scholar?q=%22self-deceptive+enhancement%22&cites=6099775482241657013&hl=en&start=20&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,36&as_vis=1&scipsc=1",1,self-deceptive enhancement
