"source","Doctype","Article.Title","Authors","Journal.Book","Year","search_string","DOI","URL","Title_cleaned"
"Google Scholar",NA,"The Balanced inventory of desirable responding (BIDR) a reliability generalization study","A Li, J Bagger","A Li, J Bagger - Educational and psychological measurement, 2007 - journals.sagepub.com","2007","balanced inventory of desirable responding",NA,"https://journals.sagepub.com/doi/abs/10.1177/0013164406292087","thebalancedinventoryofdesirablerespondingbidrareliabilitygeneralizationstudy"
"Google Scholar",NA,"Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia","SA Dinovo, MW Vasey","SA Dinovo, MW Vasey - Journal of Research in Personality, 2011 - Elsevier","2011","balanced inventory of desirable responding",NA,"https://www.sciencedirect.com/science/article/pii/S0092656611000791","reactiveandselfregulatorydimensionsoftemperamentinteractiverelationswithsymptomsofgeneraldistressandanhedonia"
"Google Scholar",NA,"Tightwads and spendthrifts","SI Rick, CE Cryder…","SI Rick, CE Cryder… - Journal of consumer …, 2008 - academic.oup.com","2008","balanced inventory of desirable responding",NA,"https://academic.oup.com/jcr/article-abstract/34/6/767/1845388","tightwadsandspendthrifts"
"Google Scholar",NA,"Struggling to be liked: The prospective effect of trait self‐control on social desirability and the moderating role of agreeableness","O Stavrova, MD Kokkoris","O Stavrova, MD Kokkoris - International Journal of Psychology, 2019 - Wiley Online Library","2019","balanced inventory of desirable responding",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12444","strugglingtobelikedtheprospectiveeffectoftraitselfcontrolonsocialdesirabilityandthemoderatingroleofagreeableness"
"Google Scholar",NA,"Impression management and achievement motivation: Investigating substantive links","AJ Elliot, N Aldhobaiban, K Murayama…","AJ Elliot, N Aldhobaiban, K Murayama… - International Journal …, 2018 - Wiley Online Library","2018","balanced inventory of desirable responding",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12252","impressionmanagementandachievementmotivationinvestigatingsubstantivelinks"
"Google Scholar",NA,"High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis","A Bertrams, O Dickhäuser","A Bertrams, O Dickhäuser - Learning and Individual Differences, 2009 - Elsevier","2009","balanced inventory of desirable responding",NA,"https://www.sciencedirect.com/science/article/pii/S1041608008000575","highschoolstudentsneedforcognitionselfcontrolcapacityandschoolachievementtestingamediationhypothesis"
"Google Scholar",NA,"Impression management (“lie”) scales are associated with interpersonally oriented self‐control, not other‐deception","L Uziel","L Uziel - Journal of personality, 2014 - Wiley Online Library","2014","balanced inventory of desirable responding",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12045","impressionmanagementliescalesareassociatedwithinterpersonallyorientedselfcontrolnototherdeception"
"Google Scholar",NA,"Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.","H Baumgartl, P Roessler, D Sauter, R Buettner","H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de","2020","balanced inventory of desirable responding",NA,"http://www.prof-buettner.de/downloads/baumgartl2020e.pdf","measuringsocialdesirabilityusinganovelmachinelearningapproachbasedoneegdata"
"Google Scholar",NA,"Role of self-control strength in the relation between anxiety and cognitive performance.","A Bertrams, C Englert, O Dickhäuser, RF Baumeister","A Bertrams, C Englert, O Dickhäuser, RF Baumeister - Emotion, 2013 - psycnet.apa.org","2013","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/doiLanding?doi=10.1037/a0031921","roleofselfcontrolstrengthintherelationbetweenanxietyandcognitiveperformance"
"Google Scholar",NA,"Are social desirability scales desirable? A meta‐analytic test of the validity of social desirability scales in the context of prosocial behavior","L Lanz, I Thielmann, FH Gerpott","L Lanz, I Thielmann, FH Gerpott - Journal of personality, 2022 - Wiley Online Library","2022","balanced inventory of desirable responding",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12662","aresocialdesirabilityscalesdesirableametaanalytictestofthevalidityofsocialdesirabilityscalesinthecontextofprosocialbehavior"
"Google Scholar",NA,"Rethinking social desirability scales: From impression management to interpersonally oriented self-control","L Uziel","L Uziel - Perspectives on Psychological Science, 2010 - journals.sagepub.com","2010","balanced inventory of desirable responding",NA,"https://journals.sagepub.com/doi/abs/10.1177/1745691610369465","rethinkingsocialdesirabilityscalesfromimpressionmanagementtointerpersonallyorientedselfcontrol"
"Google Scholar",NA,"Neural correlates of self-focused and other-focused strategies for coping with cigarette cue exposure.","SJ Wilson, MA Sayette, JA Fiez","SJ Wilson, MA Sayette, JA Fiez - Psychology of Addictive …, 2013 - psycnet.apa.org","2013","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/journals/adb/27/2/466.html?uid=2012-02612-001","neuralcorrelatesofselffocusedandotherfocusedstrategiesforcopingwithcigarettecueexposure"
"Google Scholar",NA,"Predicting direct versus displaced aggression in romantic relationships: An I3 theory analysis of the respective roles of attachment anxiety and self-regulatory …","JL Grom","JL Grom - 2016 - search.proquest.com","2016","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/d3c56bc7849fcca242a93bf166739abd/1?pq-origsite=gscholar&cbl=18750","predictingdirectversusdisplacedaggressioninromanticrelationshipsanitheoryanalysisoftherespectiverolesofattachmentanxietyandselfregulatory"
"Google Scholar",NA,"CYNTHIA E. CRYDER GEORGE LOEWENSTEIN","SI RICK","SI RICK - knowledge.wharton.upenn.edu",NA,"balanced inventory of desirable responding",NA,"http://knowledge.wharton.upenn.edu/wp-content/uploads/2013/09/13421.pdf","cynthiaecrydergeorgeloewenstein"
"Google Scholar",NA,"Information technology addiction: Construct development and measurement","S Zwanenburg","S Zwanenburg - 2013 - Citeseer","2013","balanced inventory of desirable responding",NA,"https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.826.5772&rep=rep1&type=pdf","informationtechnologyaddictionconstructdevelopmentandmeasurement"
"Google Scholar",NA,"Development of the Motivation to Participate in Psychological Research Scale","S Freng","S Freng - Journal of Individual Differences, 2020 - econtent.hogrefe.com","2020","balanced inventory of desirable responding",NA,"https://econtent.hogrefe.com/doi/full/10.1027/1614-0001/a000317","developmentofthemotivationtoparticipateinpsychologicalresearchscale"
