Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Lanz L., Thielmann I., Gerpott F.H.","57226721717;56107426200;56901406600;","Are social desirability scales desirable? A meta-analytic test of the validity of social desirability scales in the context of prosocial behavior",2022,"Journal of Personality","90","2",,"203","221",,1,"10.1111/jopy.12662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112478471&doi=10.1111%2fjopy.12662&partnerID=40&md5=fb2702b37af18d33cc18f1f8a8f7bf72","John Wiley and Sons Inc","34265863",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112478471
"Iranmanesh M., Foroughi B., Nikbin D., Hyun S.S.","55226710300;56266779100;37028801200;26325461500;","Shyness, self-esteem, and loneliness as causes of FA: The moderating effect of low self-control",2021,"Current Psychology","40","11",,"5358","5369",,6,"10.1007/s12144-019-00465-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074831986&doi=10.1007%2fs12144-019-00465-w&partnerID=40&md5=1caab994b9384d892a1c8dd14ee25231","Springer",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074831986
"Drolet A., Luce M.F., Jiang L., Rossi B.C., Hastie R.","6603812559;35601537200;57202326026;57218872452;7005978104;","The Preference for Moderation Scale",2021,"Journal of Consumer Research","47","6",,"831","854",,1,"10.1093/jcr/ucaa042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105216366&doi=10.1093%2fjcr%2fucaa042&partnerID=40&md5=e356a4b2950bd533df1e6db8cefc5a75","Oxford University Press",,Article,"Final","",Scopus,2-s2.0-85105216366
"Sulaiman R., Toulson P., Brougham D., Lempp F., Haar J.","56100487000;6506528709;54408169200;57196185166;56255988500;","The Role of Religiosity in Ethical Decision-Making: A Study on Islam and the Malaysian Workplace",2021,"Journal of Business Ethics",,,,"","",,2,"10.1007/s10551-021-04836-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106290135&doi=10.1007%2fs10551-021-04836-x&partnerID=40&md5=b5ce50481788e7cc57366d5d5ec70c5c","Springer Science and Business Media B.V.",,Article,"Article in Press","",Scopus,2-s2.0-85106290135
"Thummanond C., Maneesri K.","57220584866;16245762000;","How self-control influences thai women’s aggression: The moderating role of moral disengagement",2020,"Kasetsart Journal of Social Sciences","41","3",,"527","532",,,"10.34044/j.kjss.2020.41.3.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097434794&doi=10.34044%2fj.kjss.2020.41.3.11&partnerID=40&md5=26dcafd140e71a5d371efd6abf7a0908","Kasetsart University Research and Development Institute",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85097434794
"Zhang Y., Tan D.-L., Lei T.-T.","57214255901;7202901492;57208406286;","Parental Attachment and Problematic Smartphone Use Among Chinese Young Adults: A Moderated Mediation Model of Interpersonal Adaptation and Self-control",2020,"Journal of Adult Development","27","1",,"49","57",,6,"10.1007/s10804-019-09331-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064621624&doi=10.1007%2fs10804-019-09331-2&partnerID=40&md5=1b136ba3fe12deb9e19f9c40f55efe7d","Springer",,Article,"Final","",Scopus,2-s2.0-85064621624
"Papova A., Corbin W.R.","56820260800;6603525377;","The MASC: A novel multidimensional measure of self-control.",2020,"Motivation Science","6","4",,"346","358",,1,"10.1037/mot0000163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103558924&doi=10.1037%2fmot0000163&partnerID=40&md5=0365645de2c1d431e90286776f55efaa","American Psychological Association",,Article,"Final","",Scopus,2-s2.0-85103558924
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Ryu H.-S., Ko K.S.","56419318400;57210839990;","Understanding speculative investment behavior in the Bitcoin context from a dual-systems perspective",2019,"Industrial Management and Data Systems","119","7",,"1431","1456",,1,"10.1108/IMDS-10-2018-0441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071674486&doi=10.1108%2fIMDS-10-2018-0441&partnerID=40&md5=29e5ad57e90f23e8988738164af690aa","Emerald Group Holdings Ltd.",,Article,"Final","",Scopus,2-s2.0-85071674486
"Ng V., Tay L., Kuykendall L.","56489968900;34870886500;55801261300;","The development and validation of a measure of character: The CIVIC",2018,"Journal of Positive Psychology","13","4",,"346","372",,10,"10.1080/17439760.2017.1291850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014560701&doi=10.1080%2f17439760.2017.1291850&partnerID=40&md5=e69f447fa819349e7309b2b228ab4ff7","Routledge",,Article,"Final","",Scopus,2-s2.0-85014560701
