position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
13,The relationship between self-control and health: The mediating effect of avoidant coping,AJP4QBtfQ6MJ,"A Boals, MR Vandellen, JB Banks - Psychology & health, 2011 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/08870446.2010.529139,"A Boals, MR Vandellen, JB Banks",2011,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
14,"High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis",4g9Pfb1hfQ8J,"A Bertrams, O Dickhäuser - Learning and Individual Differences, 2009 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1041608008000575,"A Bertrams, O Dickhäuser",2009,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
15,Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self‐reports,hHKuvW37-PUJ,"MH Bornstein, DL Putnick, JE Lansford… - International Journal …, 2015 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12084,"MH Bornstein, DL Putnick, JE Lansford…",2015,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
16,Psychometric assessment of the short grit scale among Chinese adolescents,acVfVd4-L5wJ,"J Li, Y Zhao, F Kong, S Du, S Yang… - Journal of …, 2018 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0734282916674858,"J Li, Y Zhao, F Kong, S Du, S Yang…",2018,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
17,Forgiving the self: Conceptual issues and empirical findings,hq9eBGVNUpYJ,"JP Tangney, AL Boone, R Dearing - Handbook of forgiveness, 2007 - taylorfrancis.com",https://www.taylorfrancis.com/chapters/edit/10.4324/9780203955673-17/forgiving-self-conceptual-issues-empirical-findings-june-price-tangney-angela-boone-ronda-dearing,"JP Tangney, AL Boone, R Dearing",2007,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
18,The development and validation of a measure of character: The CIVIC,C7z_DZvB2KoJ,"V Ng, L Tay, L Kuykendall - The Journal of Positive Psychology, 2018 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/17439760.2017.1291850,"V Ng, L Tay, L Kuykendall",2018,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
19,Choosing goals that express the true self: A novel mechanism of the effect of self‐control on goal attainment,YHlOd0_-r2YJ,"O Stavrova, T Pronk… - European Journal of Social …, 2019 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ejsp.2559,"O Stavrova, T Pronk…",2019,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
0,It's all about control: The role of self-control in buffering the effects of negative reciprocity beliefs and trait anger on workplace deviance,zcPL0Yo_aPoJ,"SLD Restubog, PRJM Garcia, L Wang… - Journal of Research in …, 2010 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656610000905,"SLD Restubog, PRJM Garcia, L Wang…",2010,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
1,Muslim experiential religiousness: Spirituality relationships with psychological and religious adjustment in Iran,-USoq7lRZuMJ,"N Ghorbani, PJ Watson, M Madani… - Journal of Spirituality in …, 2016 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/19349637.2016.1162676,"N Ghorbani, PJ Watson, M Madani…",2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
2,"Impression management (“lie”) scales are associated with interpersonally oriented self‐control, not other‐deception",LSkQIQQD-dIJ,"L Uziel - Journal of personality, 2014 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12045,L Uziel,2014,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
3,"Characterizing the role of impulsivity in costly, reactive aggression using a novel paradigm",PBVzFtSItFEJ,"KL Meidenbauer, KW Choe, A Bakkour, M Inzlicht… - 2021 - psyarxiv.com",https://psyarxiv.com/kw3by/,"KL Meidenbauer, KW Choe, A Bakkour, M Inzlicht…",2021,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
4,The role of social worldviews and self-control in moral disengagement,0KKiDPq6euMJ,"V Alexandra - Personality and Individual Differences, 2019 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0191886919300868,V Alexandra,2019,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
5,I want to keep on exercising but I don't: The negative impact of momentary lacks of self-control on exercise adherence,t1JhmygZeZoJ,"C Englert, J Rummel - Psychology of Sport and Exercise, 2016 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1469029216300681,"C Englert, J Rummel",2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
6,"How are sociosexuality, sex drive, and lifetime number of sexual partners related?",jcC7NioqrzwJ,"JM Ostovich, J Sabini - Personality and Social Psychology …, 2004 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167204264754,"JM Ostovich, J Sabini",2004,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
7,Impression management and achievement motivation: Investigating substantive links,uWTfaAO-c-oJ,"AJ Elliot, N Aldhobaiban, K Murayama… - International Journal …, 2018 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12252,"AJ Elliot, N Aldhobaiban, K Murayama…",2018,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
8,Normal and Abnormal Personality Patterns in a Pa-tient with Leukemia: A Clinical Case study,C4wPwitXjC0J,"H Kashanaki, F Dehghani-Arani, T Ferdousi - Journal of research in …, 2019 - sid.ir",https://www.sid.ir/FileServer/JF/45113970406,"H Kashanaki, F Dehghani",2019,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
9,The loss of control over eating scale: development and psychometric evaluation,ySnspGLX7_UJ,"JD Latner, JM Mond, MC Kelly… - … Journal of Eating …, 2014 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/eat.22296,"JD Latner, JM Mond, MC Kelly…",2014,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
10,Inducing disbelief in free will alters brain correlates of preconscious motor preparation: The brain minds whether we believe in free will or not,YF7AX8sQLQwJ,"D Rigoni, S Kühn, G Sartori… - Psychological science, 2011 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0956797611405680,"D Rigoni, S Kühn, G Sartori…",2011,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",2,social desirability
