position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
10,Are social desirability scales desirable? A meta‐analytic test of the validity of social desirability scales in the context of prosocial behavior,Z9AW3-sXWSoJ,"L Lanz, I Thielmann, FH Gerpott - Journal of personality, 2022 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12662,"L Lanz, I Thielmann, FH Gerpott",2022,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
11,Rethinking social desirability scales: From impression management to interpersonally oriented self-control,4zP45n2WwxMJ,"L Uziel - Perspectives on Psychological Science, 2010 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/1745691610369465,L Uziel,2010,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
12,Neural correlates of self-focused and other-focused strategies for coping with cigarette cue exposure.,G5XpKf9o3ooJ,"SJ Wilson, MA Sayette, JA Fiez - Psychology of Addictive …, 2013 - psycnet.apa.org",https://psycnet.apa.org/journals/adb/27/2/466.html?uid=2012-02612-001,"SJ Wilson, MA Sayette, JA Fiez",2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
13,Predicting direct versus displaced aggression in romantic relationships: An I3 theory analysis of the respective roles of attachment anxiety and self-regulatory …,4o15dEed7RwJ,JL Grom - 2016 - search.proquest.com,https://search.proquest.com/openview/d3c56bc7849fcca242a93bf166739abd/1?pq-origsite=gscholar&cbl=18750,JL Grom,2016,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
14,CYNTHIA E. CRYDER GEORGE LOEWENSTEIN,yXjjUNCWPTwJ,SI RICK - knowledge.wharton.upenn.edu,http://knowledge.wharton.upenn.edu/wp-content/uploads/2013/09/13421.pdf,SI RICK,,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
15,Information technology addiction: Construct development and measurement,1_OR7RMW4_0J,S Zwanenburg - 2013 - Citeseer,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.826.5772&rep=rep1&type=pdf,S Zwanenburg,2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
16,Development of the Motivation to Participate in Psychological Research Scale,Qp_sNrgWA9IJ,"S Freng - Journal of Individual Differences, 2020 - econtent.hogrefe.com",https://econtent.hogrefe.com/doi/full/10.1027/1614-0001/a000317,S Freng,2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
17,Momentan verfügbare Selbstkontrollkraft–Vorstellung eines Messinstruments und erste Befunde aus pädagogisch-psychologischen Kontexten 1Dieser Beitrag wurde …,tAGcsCy1VocJ,"A Bertrams, A Unger… - Zeitschrift für …, 2011 - econtent.hogrefe.com",https://econtent.hogrefe.com/doi/full/10.1024/1010-0652/a000042,"A Bertrams, A Unger…",2011,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
18,Social anxiety in relation to self-control depletion following social interactions,JmURqpcIK3YJ,"GNC BlaCkhart, J Williamson… - Journal of social and …, 2015 - Guilford Press",https://guilfordjournals.com/doi/abs/10.1521/jscp.2015.34.9.747,"GNC BlaCkhart, J Williamson…",2015,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
19,Does Higher Self-Control Predict Higher State-Orientation and Negative Self-Referential Emotions? A Mixed Methods Study.,xUZUaURMiGMJ,D Hayes - 2019 - etd.auburn.edu,http://etd.auburn.edu/handle/10415/7062,D Hayes,2019,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
0,ADVANCE integrated group intervention to address both substance use and intimate partner abuse perpetration by men in substance use treatment: a …,mAUkhdLiWn8J,"G Gilchrist, L Potts, P Radcliffe, G Halliwell… - BMC public health, 2021 - Springer",https://link.springer.com/article/10.1186/s12889-021-11012-3,"G Gilchrist, L Potts, P Radcliffe, G Halliwell…",2021,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
1,Investigating the properties of the general factor (M) in bifactor models applied to Big Five or HEXACO data in terms of method or meaning,W0P4sUJ7LRkJ,"Z Chen, PJ Watson, M Biderman… - Imagination, Cognition …, 2016 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0276236615590587,"Z Chen, PJ Watson, M Biderman…",2016,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
2,Perceived control and negative outcome expectancy as mediators of problem gamblers' readiness to change and predictors of abstinence versus moderation as …,2iGDtxwYnZUJ,SLE Jeyakumar - 2005 - scholar.uwindsor.ca,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=4027&context=etd,SLE Jeyakumar,2005,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
3,Unethical for the sake of the group: risk of social exclusion and pro-group unethical behavior.,mpCYoLlxHlIJ,"S Thau, R Derfler-Rozin, M Pitesa… - Journal of applied …, 2015 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/a0036708,"S Thau, R Derfler",2015,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
4,Implicit theories of body weight: Entity beliefs can weigh you down,It1XlQRN_KYJ,"JL Burnette - Personality and social psychology Bulletin, 2010 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0146167209359768,JL Burnette,2010,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
5,The Selfish Side of Self–Control,OqXq-zcHdtcJ,"L Uziel, URI Hefetz - European Journal of Personality, 2014 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1002/per.1972,"L Uziel, URI Hefetz",2014,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
6,Validation of an implicit measure of antagonistic narcissism,GVIV8Sm4CxsJ,"PE Heinze, R Fatfouta, M Schröder-Abé - Journal of Research in …, 2020 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656620300817,"PE Heinze, R Fatfouta, M Schröder",2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
7,The effects of self-construal priming on normative influence: Interdependence increases conformity to injunctive social norms,9ax1br5ukAAJ,RP Jacobson - 2010 - search.proquest.com,https://search.proquest.com/openview/9f51b86a9845c539c7d0edabecda92a8/1?pq-origsite=gscholar&cbl=18750,RP Jacobson,2010,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
8,Stop and start control at work: Differential validity of two types of self‐control for work behavior and emotion regulation,oFzHwaZkNnAJ,"EAJ van Hooft, LM Kreemers - International Journal of Selection …, 2021 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/ijsa.12359,"EAJ van Hooft, LM Kreemers",2021,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
9,"A Multimethod Assessment of Effortful Self-Regulation in Personality Research: Temperamental, Neuropsychological, and Psychophysiological Concomitants",5-PfUGjHc6IJ,SA Dinovo Jr - 2009 - rave.ohiolink.edu,https://rave.ohiolink.edu/etdc/view?acc_num=osu1259076504,SA Dinovo Jr,2009,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
10,Patience as a virtue: Religious and psychological perspectives,xR4d7rmccksJ,"SA Schnitker, RA Emmons - Research in the Social Scientific Study of …, 2007 - brill.com",https://brill.com/downloadpdf/book/edcoll/9789047419648/Bej.9789004158511.i-301_012.pdf,"SA Schnitker, RA Emmons",2007,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
11,"Gail Gilchrist1, Sabine Landau2, Polly Radcliffe1, Mary McMurran3, Gene Feder4, Caroline Easton5, Steve Parrott6, Sara Kirkpatrick7, Juliet Henderson1 …",gJegBqpiNJkJ,"G Halliwell, S Dheensa, C Berbary, J Li… - 2020 - pilotfeasibilitystudies.biomedcentral …",https://pilotfeasibilitystudies.biomedcentral.com/track/pdf/10.1186/s40814-020-00580-7.pdf,"G Halliwell, S Dheensa, C Berbary, J Li…",2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
12,A study protocol to assess the feasibility of conducting an evaluation trial of the ADVANCE integrated intervention to address both substance use and intimate …,DB6vp4NMztsJ,"G Gilchrist, S Landau, P Radcliffe, M McMurran… - Pilot and feasibility …, 2020 - Springer",https://link.springer.com/article/10.1186/s40814-020-00580-7,"G Gilchrist, S Landau, P Radcliffe, M McMurran…",2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
13,An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being,76mQ0WoKdCwJ,"MD Robinson, MR Persich, RL Irvin - Journal of Research in Personality, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656622000204,"MD Robinson, MR Persich, RL Irvin",2022,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
14,Personal factors as antecedents of perceived financial well-being: evidence from Brazil,XqCIAo5ZGycJ,"MC Ponchio, RA Cordeiro… - International Journal of …, 2019 - emerald.com",https://www.emerald.com/insight/content/doi/10.1108/IJBM-03-2018-0077/full/html,"MC Ponchio, RA Cordeiro…",2019,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
15,The Restorative Effects of Smoking upon Self-Control Resources,hs5SjIoUgjYJ,BW Heckman - 2010 - search.proquest.com,https://search.proquest.com/openview/94c66517e8f6a737c8e97d7ac59d6702/1?pq-origsite=gscholar&cbl=18750,BW Heckman,2010,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
16,Quitting-unmotivated and quitting-motivated cigarette smokers exhibit different patterns of cue-elicited brain activation when anticipating an opportunity to smoke.,mqzK_6RAWMUJ,"SJ Wilson, MA Sayette, JA Fiez - Journal of Abnormal Psychology, 2012 - psycnet.apa.org",https://psycnet.apa.org/journals/abn/121/1/198.html?uid=2011-18195-001,"SJ Wilson, MA Sayette, JA Fiez",2012,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
17,"Enkel impressie of ook werkelijkheid: Exploratief onderzoek naar de relatie tussen procedurele kennis, impressiemanagement en gewenst gedrag bij studenten …",rE_eOVeEUpUJ,L Dirks - libstore.ugent.be,https://libstore.ugent.be/fulltxt/RUG01/002/165/987/RUG01-002165987_2014_0001_AC.pdf,L Dirks,,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
18,What makes people want more self-control: A duo of deficiency and necessity.,LB2lOLJNrE8J,"L Uziel, RF Baumeister, JL Alquist - Motivation Science, 2021 - psycnet.apa.org",https://psycnet.apa.org/record/2021-08169-001,"L Uziel, RF Baumeister, JL Alquist",2021,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
19,Overcontrolled Tendencies in Refractory Depression compared to Acute Non-Chronic Depression; The Importance of Treating Maladaptive Personality Style,S2DR8B4K6QoJ,G Taylor - 2013 - ore.exeter.ac.uk,https://ore.exeter.ac.uk/repository/handle/10871/14052,G Taylor,2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",2,balanced inventory of desirable responding
0,Predictors of readiness to change and self-efficacy among ex-offenders during reentry,qBJpMBoXdtgJ,M Davenport - 2014 - search.proquest.com,https://search.proquest.com/openview/da2c236e4f1ca31df51d7a6e6ca4ad1b/1?pq-origsite=gscholar&cbl=18750,M Davenport,2014,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
1,Messung dispositioneller selbstkontroll-kapazität: eine deutsche adaptation der kurzform der self-control scale (SCS-KD),DRECX9KzkwQJ,"A Bertrams, O Dickhäuser - Diagnostica, 2009 - econtent.hogrefe.com",https://econtent.hogrefe.com/doi/abs/10.1026/0012-1924.55.1.2,"A Bertrams, O Dickhäuser",2009,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
2,Youth intimate partner abuse: relationship conflict among Australian youth,JVvztKxcFiwJ,E Daff - 2019 - researchbank.swinburne.edu.au,https://researchbank.swinburne.edu.au/items/f1616c67-77c7-43f9-8966-5bbffed61ee6/1/Elizabeth_Daff_Thesis_2.pdf,E Daff,2019,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
3,Pride: A meta-analytic project.,9x7R1W6jalgJ,"LR Dickens, RW Robins - Emotion, 2020 - psycnet.apa.org",https://psycnet.apa.org/record/2020-84573-001,"LR Dickens, RW Robins",2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
4,Measures of state self-control and its causes for trackable activities,LvUuDnF5784J,"D Weathers, JC Siemens - Journal of Business Research, 2018 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0148296318304041,"D Weathers, JC Siemens",2018,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
5,The effect of construal level on consumers' anticipated (un) ethical behavior: Hypothesis and observed empirical findings,0DHpn3DTNE0J,NB Amaral - 2013 - search.proquest.com,https://search.proquest.com/openview/bf60d3b8978520df87b77a792c65bf56/1?pq-origsite=gscholar&cbl=18750,NB Amaral,2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
6,The Effect of Construal Level on Consumers' Anticipated (Un) Ethical Behavior,WTo6-rVrdXcJ,N Amaral - 2013 - conservancy.umn.edu,https://conservancy.umn.edu/handle/11299/174870,N Amaral,2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
7,Cue-elicited neural activity and functional connectivity among smokers associated with the decision to smoke,gTRj_o7T_qkJ,SL Henry - 2014 - etda.libraries.psu.edu,https://etda.libraries.psu.edu/catalog/23647,SL Henry,2014,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
8,Development and Validation of the Positive Affect Reduction Scale,UIbqpe0d9RcJ,BK Randazzo - 2015 - search.proquest.com,https://search.proquest.com/openview/36bf645f4e774eb2b8c7a65257fbcb70/1?pq-origsite=gscholar&cbl=18750,BK Randazzo,2015,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
9,Self-focused versus other-focused cognitive strategies for coping with smoking cue exposure: A functional magnetic resonance imaging study,rgDyavnHTLEJ,SJ Wilson - 2008 - search.proquest.com,https://search.proquest.com/openview/ad0b4ce71bd7653288b905bbfb6e2bf9/1?pq-origsite=gscholar&cbl=18750,SJ Wilson,2008,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
10,Dishonesty and the self: Ironic effects of ego depletion,QfGcoNsYDwsJ,J Thomas - 2015 - shareok.org,https://shareok.org/handle/11244/15519,J Thomas,2015,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
11,Understanding the application of scepticism in an audit setting: The role of seduction,RB7OWi0LtO4J,MJ Khan - 2016 - unsworks.unsw.edu.au,https://unsworks.unsw.edu.au/fapi/datastream/unsworks:39937/SOURCE02?view=true,MJ Khan,2016,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
12,The utility and feasibility of metric calibration for basic psychological research,K3E8vVc26PsJ,E LeBel - 2011 - ir.lib.uwo.ca,https://ir.lib.uwo.ca/etd/174/,E LeBel,2011,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
13,Scrum and Self-Control: How a team-based software development methodology can support team members' self-control,zG2YqdkERBkJ,P Heß - 2016 - archiv.ub.uni-heidelberg.de,https://archiv.ub.uni-heidelberg.de/volltextserver/20067/,P Heß,2016,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",3,balanced inventory of desirable responding
