position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,The Balanced inventory of desirable responding (BIDR) a reliability generalization study,FCI7OyakZS8J,"A Li, J Bagger - Educational and psychological measurement, 2007 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0013164406292087,"A Li, J Bagger",2007,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
1,Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia,jyP8cCRqpzQJ,"SA Dinovo, MW Vasey - Journal of Research in Personality, 2011 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0092656611000791,"SA Dinovo, MW Vasey",2011,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
2,Tightwads and spendthrifts,gflgFVtEYQQJ,"SI Rick, CE Cryder… - Journal of consumer …, 2008 - academic.oup.com",https://academic.oup.com/jcr/article-abstract/34/6/767/1845388,"SI Rick, CE Cryder…",2008,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
3,Struggling to be liked: The prospective effect of trait self‐control on social desirability and the moderating role of agreeableness,QCcF1GGHZRkJ,"O Stavrova, MD Kokkoris - International Journal of Psychology, 2019 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12444,"O Stavrova, MD Kokkoris",2019,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
4,Impression management and achievement motivation: Investigating substantive links,uWTfaAO-c-oJ,"AJ Elliot, N Aldhobaiban, K Murayama… - International Journal …, 2018 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12252,"AJ Elliot, N Aldhobaiban, K Murayama…",2018,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
5,"High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis",4g9Pfb1hfQ8J,"A Bertrams, O Dickhäuser - Learning and Individual Differences, 2009 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1041608008000575,"A Bertrams, O Dickhäuser",2009,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
6,"Impression management (“lie”) scales are associated with interpersonally oriented self‐control, not other‐deception",LSkQIQQD-dIJ,"L Uziel - Journal of personality, 2014 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12045,L Uziel,2014,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
7,Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.,iFa2rkfddMgJ,"H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de",http://www.prof-buettner.de/downloads/baumgartl2020e.pdf,"H Baumgartl, P Roessler, D Sauter, R Buettner",2020,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
8,Role of self-control strength in the relation between anxiety and cognitive performance.,KxmzP7NBrZsJ,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister - Emotion, 2013 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/a0031921,"A Bertrams, C Englert, O Dickhäuser, RF Baumeister",2013,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
9,Тест самообладания: психометрические характеристики и перспективы применения,TTfRpOSHz6YJ,"АА Золотарева - Психологический журнал, 2018 - elibrary.ru",https://elibrary.ru/item.asp?id=32243936,АА Золотарева,2018,"https://scholar.google.com/scholar?q=%22balanced+inventory+of+desirable+responding%22&cites=6099775482241657013&hl=en&start=40&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,34&as_vis=1&scipsc=1",1,balanced inventory of desirable responding
